tipo,nf, valor_total,tributo_federal,tributo_estadual
mercado,20220701_Extra,15.44,2.08,2.43
mercado,20220702_Extra,165.45,22.68,27.70
brinquedo,20220706_ColecionaBrinquedo,1.119.98,,
padaria,20220705_Barbotti,6.59,0.89,0.88
padria,20220710_Barbotti,8.15,1.09,1.09
drogaria,20220716_MCD,165.82,31.11,26.94
mercado,20220721_Sams,1224.52,127.18,93.16
restaurante,20220719_Cacilda,520.40,80.84,102.21
drogaria,20220719_DrogariaSP,41.79,,
padaria,20220711_Barbotti,17.08,2.30,2.28
roupa,20220711_C&A,165.98,22.32,29.88
restaurante,20220711_MontanaGrill,92.20,2.96,3.98
restaurante,20220727_McDonalds,83.70,7.64,2.45
roupa,20220703_C&A,159.99,21.52,28.80
