nf,codigo,descricao,quantidade,unidade,valor_por_unidade,taxa_referencial,valor_total_item
20220606_Violeta,0000000004459,BANANA NANICA,1.57,kg,5.99,2.95,9.40
20220606_Violeta,7898942930713,TOMATE REDINHA TREBESCHI,1,UN,5.99,1.89,5.99
20220606_Violeta,7896304000173,MACA LILI 1KG,1,UN,7.99,2.51,7.99
20220606_Violeta,0000000004077,CENOURA,0.460,kg,5.99,0.87,2.76
20220606_Violeta,0000000003353,MINI PAO FRAN KG C/ PARM,240,kg,24.90,1.60,5.98
20220606_Violeta,7898005060043,ALFACE CRESPA COELHO,1,UN,4.99,0.21,4.99
20220606_Violeta,0736532746238,FEIJAO CARIOCA KIBELLO,1,UN,8.99,0.38,8.99
20220606_Violeta,0000000002035,LINGUIÇA CALABRESA DEFUMADA AURORA,0.610,kg,26.90,3.29,16.41
20220606_Violeta,0000000004381,LIMAO TAITI,0.475,kg,2.99,0.45,1.42
20220606_Violeta,0000000005074,COXAO-MOLE PEDACO/PECA/B,0.556,kg,49.98,8.74,27.79
20220606_Violeta,0000000005128,ACEM PEDACO/PECA,0.964,kg,37.98,11.51,36.61
20220606_Violeta,7891515522353,PEITO FGO COZ SADIA 2KG,1,UN,74.90,23.55,74.90
20220606_Violeta,7908052100019,SACOLA CINZA 48X55,1,UN,0.12,0.04,0.12
20220606_Violeta,7908052100019,SACOLA CINZA 48X55,1,UN,0.12,0.04,0.12
20220606_Violeta,7908052100019,SACOLA CINZA 48X55,1,UN,0.12,0.04,0.12
20220606_Violeta,7908052100019,SACOLA CINZA 48X55,1,UN,0.12,0.04,0.12
